# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Standard Edition
# File: /home/florian/repos/teaching/ddca/2018/dd/template_vhdl/top/quartus/top_pinout.csv
# Generated on: Wed Feb 21 12:11:35 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
hex5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,3.3-V LVTTL,,,,,
hex5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,3.3-V LVTTL,,,,,
hex5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,3.3-V LVTTL,,,,,
hex6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,3.3-V LVTTL,,,,,
hex6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,3.3-V LVTTL,,,,,
hex6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,3.3-V LVTTL,,,,,
hex6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,3.3-V LVTTL,,,,,
hex6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,3.3-V LVTTL,,,,,
hex6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,3.3-V LVTTL,,,,,
hex6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,3.3-V LVTTL,,,,,
hex7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,3.3-V LVTTL,,,,,
hex7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,3.3-V LVTTL,,,,,
hex7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,3.3-V LVTTL,,,,,
hex7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,3.3-V LVTTL,,,,,
hex7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,3.3-V LVTTL,,,,,
hex7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,3.3-V LVTTL,,,,,
hex7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,3.3-V LVTTL,,,,,
keys[3],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
keys[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
keys[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
keys[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
nclk,Output,PIN_R21,5,B5_N0,PIN_R21,3.3-V LVTTL,,8ma,2,,
ps2_clk,Bidir,PIN_G6,1,B1_N0,PIN_G6,3.3-V LVTTL,,,,,
ps2_data,Bidir,PIN_H5,1,B1_N1,PIN_H5,3.3-V LVTTL,,,,,
r[7],Output,PIN_J26,6,B6_N1,PIN_J26,3.3-V LVTTL,,8ma,2,,
r[6],Output,PIN_T25,5,B5_N0,PIN_T25,3.3-V LVTTL,,8ma,2,,
r[5],Output,PIN_L27,6,B6_N2,PIN_L27,3.3-V LVTTL,,8ma,2,,
r[4],Output,PIN_T26,5,B5_N0,PIN_T26,3.3-V LVTTL,,8ma,2,,
r[3],Output,PIN_L28,6,B6_N2,PIN_L28,3.3-V LVTTL,,8ma,2,,
r[2],Output,PIN_U25,5,B5_N0,PIN_U25,3.3-V LVTTL,,8ma,2,,
r[1],Output,PIN_V25,5,B5_N1,PIN_V25,3.3-V LVTTL,,8ma,2,,
r[0],Output,PIN_U26,5,B5_N0,PIN_U26,3.3-V LVTTL,,8ma,2,,
rx,Input,PIN_G12,8,B8_N1,PIN_G12,2.5 V,,,,,
sda,Output,PIN_P27,6,B6_N2,PIN_P27,3.3-V LVTTL,,8ma,2,,
sram_addr[19],Output,PIN_T8,2,B2_N1,PIN_T8,3.3-V LVTTL,,,,,
sram_addr[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,3.3-V LVTTL,,,,,
sram_addr[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,3.3-V LVTTL,,,,,
sram_addr[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,3.3-V LVTTL,,,,,
sram_addr[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,3.3-V LVTTL,,,,,
sram_addr[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,3.3-V LVTTL,,,,,
sram_addr[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,3.3-V LVTTL,,,,,
sram_addr[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,3.3-V LVTTL,,,,,
sram_addr[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,3.3-V LVTTL,,,,,
sram_addr[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,3.3-V LVTTL,,,,,
sram_addr[9],Output,PIN_T7,2,B2_N0,PIN_T7,3.3-V LVTTL,,,,,
sram_addr[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,3.3-V LVTTL,,,,,
sram_addr[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,3.3-V LVTTL,,,,,
sram_addr[6],Output,PIN_AB5,2,B2_N2,PIN_AB5,3.3-V LVTTL,,,,,
sram_addr[5],Output,PIN_AE6,3,B3_N2,PIN_AE6,3.3-V LVTTL,,,,,
sram_addr[4],Output,PIN_AB6,2,B2_N2,PIN_AB6,3.3-V LVTTL,,,,,
sram_addr[3],Output,PIN_AC7,3,B3_N2,PIN_AC7,3.3-V LVTTL,,,,,
sram_addr[2],Output,PIN_AE7,3,B3_N1,PIN_AE7,3.3-V LVTTL,,,,,
sram_addr[1],Output,PIN_AD7,3,B3_N2,PIN_AD7,3.3-V LVTTL,,,,,
sram_addr[0],Output,PIN_AB7,3,B3_N1,PIN_AB7,3.3-V LVTTL,,,,,
sram_ce_n,Output,PIN_AF8,3,B3_N1,PIN_AF8,3.3-V LVTTL,,,,,
sram_dq[15],Bidir,PIN_AG3,3,B3_N2,PIN_AG3,3.3-V LVTTL,,,,,
sram_dq[14],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,3.3-V LVTTL,,,,,
sram_dq[13],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,3.3-V LVTTL,,,,,
sram_dq[12],Bidir,PIN_AE3,2,B2_N2,PIN_AE3,3.3-V LVTTL,,,,,
sram_dq[11],Bidir,PIN_AE1,2,B2_N1,PIN_AE1,3.3-V LVTTL,,,,,
sram_dq[10],Bidir,PIN_AE2,2,B2_N1,PIN_AE2,3.3-V LVTTL,,,,,
sram_dq[9],Bidir,PIN_AD2,2,B2_N1,PIN_AD2,3.3-V LVTTL,,,,,
sram_dq[8],Bidir,PIN_AD1,2,B2_N1,PIN_AD1,3.3-V LVTTL,,,,,
sram_dq[7],Bidir,PIN_AF7,3,B3_N1,PIN_AF7,3.3-V LVTTL,,,,,
sram_dq[6],Bidir,PIN_AH6,3,B3_N2,PIN_AH6,3.3-V LVTTL,,,,,
sram_dq[5],Bidir,PIN_AG6,3,B3_N2,PIN_AG6,3.3-V LVTTL,,,,,
sram_dq[4],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,3.3-V LVTTL,,,,,
sram_dq[3],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,3.3-V LVTTL,,,,,
sram_dq[2],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,3.3-V LVTTL,,,,,
sram_dq[1],Bidir,PIN_AF4,3,B3_N2,PIN_AF4,3.3-V LVTTL,,,,,
sram_dq[0],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,3.3-V LVTTL,,,,,
sram_lb_n,Output,PIN_AD4,3,B3_N2,PIN_AD4,3.3-V LVTTL,,,,,
sram_oe_n,Output,PIN_AD5,3,B3_N2,PIN_AD5,3.3-V LVTTL,,,,,
sram_ub_n,Output,PIN_AC4,2,B2_N2,PIN_AC4,3.3-V LVTTL,,,,,
sram_we_n,Output,PIN_AE8,3,B3_N1,PIN_AE8,3.3-V LVTTL,,,,,
switches[17],Input,PIN_Y23,5,B5_N2,PIN_Y23,3.3-V LVTTL,,,,,
switches[16],Input,PIN_Y24,5,B5_N2,PIN_Y24,3.3-V LVTTL,,,,,
switches[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,3.3-V LVTTL,,,,,
switches[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,3.3-V LVTTL,,,,,
switches[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,3.3-V LVTTL,,,,,
switches[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,3.3-V LVTTL,,,,,
switches[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,3.3-V LVTTL,,,,,
switches[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,3.3-V LVTTL,,,,,
switches[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,3.3-V LVTTL,,,,,
switches[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,3.3-V LVTTL,,,,,
switches[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,3.3-V LVTTL,,,,,
switches[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,3.3-V LVTTL,,,,,
switches[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,3.3-V LVTTL,,,,,
switches[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,3.3-V LVTTL,,,,,
switches[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,3.3-V LVTTL,,,,,
switches[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,3.3-V LVTTL,,,,,
switches[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,3.3-V LVTTL,,,,,
switches[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,3.3-V LVTTL,,,,,
vd,Output,PIN_U28,5,B5_N0,PIN_U28,3.3-V LVTTL,,8ma,2,,
ledg[0],Unknown,PIN_E21,7,B7_N0,,2.5 V,,,,,
ledg[1],Unknown,PIN_E22,7,B7_N0,,2.5 V,,,,,
ledg[2],Unknown,PIN_E25,7,B7_N1,,2.5 V,,,,,
ledg[3],Unknown,PIN_E24,7,B7_N1,,2.5 V,,,,,
ledg[4],Unknown,PIN_H21,7,B7_N2,,2.5 V,,,,,
ledg[5],Unknown,PIN_G20,7,B7_N1,,2.5 V,,,,,
ledg[6],Unknown,PIN_G22,7,B7_N2,,2.5 V,,,,,
ledg[7],Unknown,PIN_G21,7,B7_N1,,2.5 V,,,,,
ledg[8],Unknown,PIN_F17,7,B7_N2,,2.5 V,,,,,
